date,sejrik,mencik2,Mates511,ominar
2017-08-15,54,60,0,0
2017-08-16,54,61,0,0
2017-08-17,54,64,0,0
2017-08-18,54,64,0,0
2017-08-19,57,64,0,0
2017-08-20,57,64,0,0
2017-08-21,57,64,0,0
2017-08-22,57,64,0,0
2017-08-23,57,64,0,0
2017-08-24,57,64,0,0
2017-08-25,57,64,0,0
2017-08-26,57,64,0,0
2017-08-27,57,64,0,0
2017-08-28,57,64,0,0
2017-08-29,57,64,0,0
2017-08-30,57,64,0,0
2017-08-31,57,64,0,0
2017-09-01,57,64,0,0
2017-09-02,57,64,0,0
2017-09-03,57,64,0,0
2017-09-04,57,64,0,0
2017-09-05,57,64,0,0
2017-09-06,57,64,0,0
2017-09-07,57,64,0,0
2017-09-08,57,64,0,0
2017-09-09,58,64,0,0
2017-09-10,58,64,0,0
2017-09-11,58,64,0,0
2017-09-12,58,64,0,0
2017-09-13,58,64,0,0
2017-09-14,58,64,0,0
2017-09-15,58,64,0,0
2017-09-16,58,64,0,0
2017-09-17,58,64,0,0
2017-09-18,58,64,0,0
2017-09-19,58,64,0,0
2017-09-20,58,64,0,0
2017-09-21,58,64,0,0
2017-09-22,60,64,0,0
2017-09-23,60,64,0,0
2017-09-24,60,64,0,0
2017-09-25,60,64,0,0
2017-09-26,60,64,0,0
2017-09-27,60,64,0,0
2017-09-28,60,64,0,0
2017-09-29,60,64,0,0
2017-09-30,60,64,0,0
2017-10-01,60,64,0,0
2017-10-02,60,64,0,0
2017-10-03,60,64,0,0
2017-10-04,60,64,0,0
2017-10-05,60,64,0,0
2017-10-06,60,64,0,0
2017-10-07,60,64,0,0
2017-10-08,60,64,0,0
2017-10-09,60,64,0,0
2017-10-10,60,64,0,0
2017-10-11,60,64,0,0
2017-10-12,60,64,0,0
2017-10-13,60,64,0,0
2017-10-14,60,64,0,0
2017-10-15,60,64,0,0
2017-10-16,60,64,0,0
2017-10-17,60,64,0,0
2017-10-18,60,64,0,0
2017-10-19,60,64,0,0
2017-10-20,60,64,0,0
2017-10-21,60,64,0,0
2017-10-22,60,64,0,0
2017-10-23,60,64,0,0
2017-10-24,60,64,0,0
2017-10-25,60,64,0,0
2017-10-26,60,64,0,0
2017-10-27,60,64,0,0
2017-10-28,60,64,0,0
2017-10-29,60,64,0,0
2017-10-30,60,64,0,0
2017-10-31,60,64,0,0
2017-11-01,60,64,0,0
2017-11-02,60,64,0,0
2017-11-03,60,64,0,0
2017-11-04,60,64,0,0
2017-11-05,60,64,0,0
2017-11-06,60,64,0,0
2017-11-07,60,64,0,0
2017-11-08,60,64,0,0
2017-11-09,60,64,0,0
2017-11-10,60,64,0,0
2017-11-11,60,64,0,0
2017-11-12,60,64,0,0
2017-11-13,60,64,0,0
2017-11-14,60,64,0,0
2017-11-15,60,64,0,0
2017-11-16,60,64,0,0
2017-11-17,60,64,0,0
2017-11-18,60,64,0,0
2017-11-19,60,64,0,0
2017-11-20,60,64,0,0
2017-11-21,60,64,0,0
2017-11-22,60,64,0,0
2017-11-23,60,64,0,0
2017-11-24,60,64,0,0
2017-11-25,60,64,0,0
2017-11-26,60,64,0,0
2017-11-27,60,64,0,0
2017-11-28,60,64,0,0
2017-11-29,60,64,0,0
2017-11-30,60,64,0,0
2017-12-01,60,64,0,0
2017-12-02,60,64,0,0
2017-12-03,60,64,0,0
2017-12-04,60,64,0,0
2017-12-05,61,64,0,0
2017-12-06,61,64,0,0
2017-12-07,61,65,0,0
2017-12-08,61,65,0,0
2017-12-09,61,65,0,0
2017-12-10,61,65,0,0
2017-12-11,61,65,0,0
2017-12-12,61,65,0,0
2017-12-13,61,65,0,0
2017-12-14,61,65,0,0
2017-12-15,61,65,0,0
2017-12-16,61,65,0,0
2017-12-17,61,65,0,0
2017-12-18,61,65,0,0
2017-12-19,61,65,0,0
2017-12-20,61,65,0,0
2017-12-21,61,65,0,0
2017-12-22,61,65,0,0
2017-12-23,61,65,0,0
2017-12-24,61,65,0,0
2017-12-25,61,65,0,0
2017-12-26,61,65,0,0
2017-12-27,61,65,0,0
2017-12-28,61,65,0,0
2017-12-29,61,65,0,0
2017-12-30,61,65,0,0
2017-12-31,61,65,0,0
2018-01-01,61,65,0,0
2018-01-02,61,65,0,0
2018-01-03,61,65,0,0
